Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Aquarius,331.37455844534,366.1662926105,-31.22567545541,3.5383754322499996,8.0,14,350.8492803193157,-14.409479694759284
Aquila,292.87508656395,311.5694998678,4.2282824859399994,24.03121591396,8.0,3,302.21719590182994,14.485786859260001
Canis Major,85.24651428469,110.15525376154,-39.17446097694,-16.97489288291,8.0,7,97.63507218845858,-28.771196622087142
Centaurus,166.95809534775,221.75665384049,-71.58107294228,-29.65066190436,8.0,4,191.70723981252502,-56.60432150829
Cetus,-0.0801236917799999,47.28993938397,-18.04130498644,11.76932054607,8.0,20,26.455697542417,-4.352151906419499
Columba,78.30444094026,99.52313534713,-42.47619190709,-21.75880719084,8.0,6,89.22286891841001,-32.608329606485
Delphinus,295.715549828,322.63433997935,-1.9918498290699995,26.05136033633,8.0,26,309.5307477949546,11.99603546481077
Equuleus,307.66796339442004,328.84900470722,-5.233813731990001,19.65709233268,8.0,5,318.279975864236,7.822656823394
Lepus,67.97208798410999,90.37918623323002,-34.585143769300004,-13.03968522121,8.0,5,79.92651360024202,-23.194254136904
Pegasus,310.37011151995,339.64133616465,2.0934288178300005,31.39460040838,8.0,21,326.35439499903094,16.017607407118096
Pisces,-7.48892526384,34.47909198236,-11.47531691462,24.0376036636,8.0,14,13.277700462965713,6.322020537543572
Sagitta,287.58056686898,308.99757331947,8.493700224560001,26.4656697377,8.0,5,298.664515950148,17.145870914321996
Sculptor,343.88919776802004,365.23194377728,-36.13074342707,-17.420618473729995,8.0,4,353.816542551915,-26.9264474069325
Vulpecula,285.3212433353,321.59331436367,12.4143707847,36.52197295941,8.0,28,304.19008984145,23.974119643068573
