Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-6.69579518996,31.56929047864,27.57084765709,56.08223531269,8.0,20,12.4163761190045,41.357753187193495
Aquarius,309.31698882332,348.74199502802,-12.36815001562,9.37740985144,8.0,8,329.42735290688256,-0.8090498407425001
Aries,22.91456196685,53.15160567933,14.829043295020004,35.2375953103,8.0,15,35.577965085722,24.652964831206003
Auriga,64.30362062489999,86.66424418295,21.79864233698,40.58803826578,8.0,7,75.34983305131713,31.41662493555429
Boötes,202.29327458048,238.4521390587,10.911664282910003,40.93375458989,8.0,8,217.13618331242125,27.99906096904875
Camelopardalis,48.50486707641,82.02944308941,44.84109935277,75.20109687138,8.0,11,55.89661386227001,56.58650692826637
Cancer,125.14422878801,144.22919499274,24.37656006934,40.91013378101,8.0,4,134.48409746471748,32.551493693565
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,11,199.73626312282911,39.95043749156636
Cassiopeia,6.62991401447,46.62930148974,53.70615898955,84.71792198823,8.0,9,19.465243675757776,66.60873168924445
Cepheus,302.66531950344,374.46349023864,49.73603546657,81.61179261963001,8.0,8,264.53214768594125,69.27306042276874
Cetus,35.40908878943,53.962766646400006,-7.5522247165600005,16.38116469977,8.0,6,38.02181532570167,8.34168548814
Corona Borealis,226.84260630488,253.73552913753,21.85102976643,44.63681234775999,8.0,5,239.36780879599397,33.927092185614
Cygnus,284.81737095996004,329.09468340674,21.33197552649,41.4706985579,8.0,18,305.8410186427934,32.57224305476167
Delphinus,299.08697406536,320.65479381672003,3.3031792515900005,28.606410049,8.0,10,309.14715501111294,16.178461237748998
Draco,230.95647329902,276.8488399785,45.80163166547,70.36994181885001,8.0,14,255.87996407267858,57.56540647459071
Gemini,95.53158608173,125.7507602791,20.11804171473,40.51132597938,8.0,7,109.85984380754144,30.451372788611422
Hercules,246.01881777532,279.77622500157,32.51590209031,57.77987860844,8.0,15,263.8883338469313,46.117991527842
Lacerta,323.02799617456003,341.45563482111,36.34509956341,58.82357353648,8.0,8,332.21806974024753,46.74665724946375
Leo Minor,140.08981182621,170.09796634215,25.90812043703,45.91438059433,8.0,4,155.9035297156,36.41650219897
Lynx,104.98157798735,152.59065625353998,27.363987333910003,62.11908828577,8.0,16,127.92126770196498,44.203810808181245
Lyra,267.93352643807003,294.65760935463,20.628971799370003,55.57538799785999,8.0,8,281.3402082950188,38.476003169094994
Pegasus,315.11269329442,371.30897038438,1.6772503545500008,43.2137479774,8.0,32,328.84521663434504,22.39099896006188
Perseus,35.35144860257,70.41223594302,23.12678662856,43.791042068690004,8.0,11,59.047626991874544,33.61249843574091
Pisces,-0.30367720463000136,24.9885999223,8.037603663599999,39.80412443948,8.0,7,13.77467276298,23.05695181663429
Sagitta,287.58056686898,308.99757331947,8.493700224560001,28.99825519637,8.0,5,298.96576756937003,17.973986248078
Serpens,221.14929071848,245.21027620896,1.7129718433299992,26.46427791957,8.0,5,233.47005544263197,13.956511168212
Taurus,54.29202415441,76.03293814930001,9.27737247117,29.73604224563,8.0,13,65.04041193140921,20.183710120509996
Triangulum,22.74139776648,50.608639335540005,23.60766888527,43.6141928755,8.0,8,37.49199141855125,33.103077079718744
Ursa Major,146.46013654023997,191.85734834773,49.03265316489,79.06049458045,8.0,11,169.46134940651183,63.34256629892547
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,5,244.01422556859802,77.41665380319
Vulpecula,286.2776271696,321.59331436367,12.211480767849999,36.52197295941,8.0,17,302.85581824856416,24.23961981961882
