Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Cancer,113.26854590933998,137.07251472848998,5.11793654777,28.39002352992,8.0,11,125.86074590785364,16.682823012736364
Canis Major,91.64756523978,119.2782139731,-28.64034391823,-4.393947236140001,8.0,15,104.91291807011066,-16.931621465463998
Canis Minor,101.65039511831,128.30777111064,-7.72138103261,12.87991999222,8.0,4,115.42481192285751,2.2933664347725
Centaurus,166.95809534775,221.75665384049,-71.58107294228,-29.65066190436,8.0,4,191.70723981252502,-56.60432150829
Cetus,-2.7975659887699997,43.84245415337,-32.216824594900004,1.8071065367199992,8.0,8,18.04496602645375,-18.12012199529
Columba,78.30444094026,99.52313534713,-42.47619190709,-21.75880719084,8.0,6,89.22286891841001,-32.608329606485
Crater,159.11914997514,184.54138002658,-32.87362508155,-12.78654558686,8.0,3,171.03556462064,-22.602050970543335
Gemini,99.84601815041,127.02677946323,11.883789987619998,35.637922989930004,8.0,10,113.264542649454,23.149758044263002
Hydra,123.12968363401001,148.91782222665,-6.71984927187,13.837681582910001,8.0,12,135.50166622456916,4.2082387032175
Leo,136.23783992071,162.73925214476003,9.705805907920002,35.74128649205,8.0,5,150.10362933186403,23.568583657218
Lepus,66.54354544338,100.80690423108,-34.585143769300004,-4.31085940609,8.0,20,83.737577208925,-18.8525166946485
Monoceros,88.74507874022,118.50860432538,-16.97932104961,14.72409104126,8.0,14,104.08584957916501,-0.3693347234564284
Orion,75.2806053554,101.18569879949,-17.04175858024,6.41947074394,8.0,8,87.58784876073125,-4.6378853028325
Sculptor,343.88919776802004,365.23194377728,-36.13074342707,-17.420618473729995,8.0,4,353.816542551915,-26.9264474069325
