Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-6.69579518996,31.56929047864,21.75130590539,56.08223531269,8.0,24,11.498003347223332,39.751909912975
Aries,32.50365634831,56.05941829715999,18.462376976210003,38.93558166626,8.0,9,44.51254937800999,28.899109108606662
Auriga,72.17951061403001,95.21591271666,28.31964273378,49.69584795738,8.0,6,79.67270215260666,33.84882628673167
Boötes,202.29327458048,238.4521390587,10.44160376676,40.93375458989,8.0,8,222.42085551235874,28.58618425394625
Camelopardalis,48.50486707641,82.02944308941,44.84109935277,75.20109687138,8.0,11,55.89661386227001,56.58650692826637
Cancer,125.44044750576,147.46391661698,2.66814608332,29.28315958296,8.0,10,135.99631750211603,17.88761045539
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,11,199.73626312282911,39.95043749156636
Cassiopeia,3.3213236407999993,33.733785655830005,47.22137253804,78.97982930449001,8.0,19,21.14939162498631,63.036002820967376
Cepheus,302.66531950344,374.46349023864,49.73603546657,81.61179261963001,8.0,18,280.10657704061504,67.25817042675943
Corona Borealis,226.10902084088,253.73552913753,21.85102976643,46.07252852457,8.0,8,239.1235679012375,34.930899077296246
Cygnus,284.81737095996004,329.09468340674,21.33197552649,41.4706985579,8.0,20,305.474608421771,33.074229776521996
Delphinus,295.715549828,320.65479381672003,2.4723777809200005,28.606410049,8.0,10,308.13697594044595,16.489329716107
Draco,232.24134691408,298.41833251063,56.95001289026,91.90494422465,8.0,27,264.07291081832705,67.71268578281332
Gemini,95.53158608173,127.02677946323,11.883789987619998,40.51132597938,8.0,15,111.43215615699,26.910741749631995
Hercules,246.01881777532,279.77622500157,32.51590209031,57.77987860844,8.0,10,262.182497790445,47.136355105623
Hydra,123.12968363401001,148.91782222665,-4.133042436569999,13.837681582910001,8.0,6,134.81985800058337,5.257036496456666
Lacerta,329.34309870494,352.26882118736,40.68404419023,64.4085089399,8.0,9,341.3300410259367,52.261087091617775
Leo,136.23783992071,162.73925214476003,9.705805907920002,39.076824502760005,8.0,5,150.33388458625,24.235691259360003
Leo Minor,147.7718638017,170.09796634215,25.90812043703,45.57031039846,8.0,4,157.82404270947248,35.74229802544
Lynx,104.98157798735,137.06492255201,27.778715707819998,51.26021139868,8.0,8,125.54825956723249,41.33729048052375
Lyra,267.93352643807003,294.65760935463,20.628971799370003,55.57538799785999,8.0,9,281.7456127023845,39.00688195978333
Monoceros,89.9813260965,129.2441894195,-12.33260648233,14.3454379435,8.0,8,109.32685632795,0.5073295067162502
Pegasus,320.89670587697003,365.41446706815003,20.40342399132,43.33755393325,8.0,9,344.1735749008956,32.68970584613223
Perseus,47.59437438044001,70.41223594302,23.65244431484,43.791042068690004,8.0,11,67.29266715477091,38.22990533974
Sagitta,287.58056686898,308.99757331947,8.493700224560001,28.99825519637,8.0,5,298.96576756937003,17.973986248078
Serpens,226.17728774046,245.21027620896,4.723587877330001,26.46427791957,8.0,4,235.445367544715,15.606693563177501
Taurus,48.20099235354,65.71855293608999,15.71164959376,32.83905700412,8.0,13,56.94930426822385,24.14376445561077
Triangulum,22.74139776648,50.608639335540005,23.60766888527,43.6141928755,8.0,9,37.88240679421778,33.021641474673324
Ursa Major,146.46013654023997,210.1121602264,47.1594951738,79.06049458045,8.0,8,205.22316306388626,54.34529509097375
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,5,244.01422556859802,77.41665380319
Virgo,179.29028783413003,234.02681132645,-12.10996104819,13.49269472504,8.0,3,200.20275717180002,-0.34895079764666637
Vulpecula,286.2776271696,314.83696630458,12.211480767849999,33.64825519799,8.0,16,300.4796536831882,23.3415753044925
