Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-6.69579518996,31.56929047864,27.57084765709,56.08223531269,8.0,20,12.4163761190045,41.357753187193495
Aries,19.71623775092,49.07980878095,2.5652382941000003,27.68715053402,8.0,19,41.38563108842316,21.531229798539474
Auriga,77.86366844636,102.39407979985,34.9809850659,60.48888030578,8.0,10,93.018441150302,45.92131617242
Boötes,202.29327458048,238.4521390587,10.911664282910003,40.93375458989,8.0,8,217.13618331242125,27.99906096904875
Camelopardalis,48.50486707641,82.02944308941,44.84109935277,75.20109687138,8.0,11,55.89661386227001,56.58650692826637
Cancer,113.26854590933998,138.17985310897,5.11793654777,27.97107438932,8.0,8,125.9860035872025,16.95925461326375
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,11,199.73626312282911,39.95043749156636
Canis Major,85.84855528611,113.14622330444,-28.64034391823,-3.904374796280001,8.0,9,100.20737599174224,-16.84796519508667
Cassiopeia,6.62991401447,46.62930148974,53.70615898955,84.71792198823,8.0,9,19.465243675757776,66.60873168924445
Cepheus,302.66531950344,374.46349023864,49.73603546657,81.61179261963001,8.0,8,264.53214768594125,69.27306042276874
Cetus,28.04338567594,48.06560266213,-1.8880553544699996,18.272386530269998,8.0,8,44.74804010164,4.462224380235
Corona Borealis,226.84260630488,253.73552913753,21.85102976643,46.07252852457,8.0,6,240.0237969662883,34.61799824210667
Cygnus,284.81737095996004,329.09468340674,21.33197552649,41.4706985579,8.0,20,305.525194758676,33.22803417684149
Draco,230.95647329902,276.8488399785,45.80163166547,70.36994181885001,8.0,14,255.87996407267858,57.56540647459071
Gemini,95.53158608173,127.02677946323,11.883789987619998,40.51132597938,8.0,15,111.84704671532732,26.891852173788664
Hercules,246.01881777532,279.77622500157,32.51590209031,57.77987860844,8.0,15,263.8883338469313,46.117991527842
Hydra,123.12968363401001,148.91782222665,-4.133042436569999,13.837681582910001,8.0,5,134.69288665026403,5.17812195702
Lacerta,323.02799617456003,341.45563482111,36.34509956341,58.82357353648,8.0,8,332.21806974024753,46.74665724946375
Leo,139.44476078129,162.73925214476003,9.705805907920002,39.076824502760005,8.0,4,151.85789575263502,24.536847483612505
Leo Minor,140.08981182621,170.09796634215,25.90812043703,45.91438059433,8.0,4,155.9035297156,36.41650219897
Lynx,104.98157798735,152.59065625353998,27.363987333910003,62.11908828577,8.0,17,128.4193280597388,43.73183956974882
Lyra,267.93352643807003,294.65760935463,20.628971799370003,55.57538799785999,8.0,8,281.3402082950188,38.476003169094994
Monoceros,93.66251230764,129.2441894195,-19.18101647205,4.50423467254,8.0,9,110.09252976628889,-7.8063932493733335
Orion,75.2806053554,101.18569879949,-17.04175858024,6.41947074394,8.0,7,87.79583680674143,-4.629615626855714
Pegasus,337.17680394874003,365.41446706815003,20.40342399132,42.95229397492,8.0,6,348.83281271505666,31.44650850502167
Perseus,47.59437438044001,70.41223594302,23.65244431484,43.791042068690004,8.0,9,67.07774959627223,37.40916324744111
Pisces,3.8072817193200006,24.9885999223,11.578742457059999,39.80412443948,8.0,6,14.787731090915,24.226843175473334
Serpens,221.14929071848,245.21027620896,1.7129718433299992,26.46427791957,8.0,5,233.47005544263197,13.956511168212
Taurus,54.29202415441,76.03293814930001,9.27737247117,29.73604224563,8.0,13,65.04041193140921,20.183710120509996
Triangulum,22.74139776648,50.608639335540005,23.60766888527,43.6141928755,8.0,8,37.49199141855125,33.103077079718744
Ursa Major,146.46013654023997,191.85734834773,49.03265316489,79.06049458045,8.0,11,169.46134940651183,63.34256629892547
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,5,244.01422556859802,77.41665380319
