ID,Source,RA_ICRS,DE_ICRS,BP_RP,Gmag,Rad,BPmag,RPmag
3685,3017190546641718144,83.85826322362,-5.90989604809,0.11113700000000026,2.740842,10.2321,3.0577650000000003,2.946628
919,168726523212358272,58.53304404662,31.88359461391,0.35094499999999984,2.82199,26.0687,3.023606,2.672661
3583,2769202742740232960,3.30897038438,15.18355074145,0.09509499999999971,2.853429,7.2555,3.100469,3.005374
18504,229898024422755840,59.46359517052,40.01009509785,0.008548999999999918,2.9042790000000003,11.0528,3.036689,3.02814
32792,1014058103758571520,134.7989643318,48.04087147111,0.5075879999999997,3.120973,1.8435,3.418268,2.91068
34462,1575287046603605888,183.85734834773,57.03265316489,0.26148799999999994,3.3111019999999995,2.3196,3.451031,3.189543
65698,511974502720839040,28.59918850459,63.67001834766,-0.027086000000000165,3.3546660000000004,6.1031,3.391168,3.418254
31152,418001477279154304,9.24298360612,53.89686812148,-0.2606949999999997,3.664362,6.517,3.5528690000000003,3.813564
33621,1201067439457715072,245.47983846631,19.15332026864,0.44065699999999985,3.691747,6.6107,3.845034,3.404377
80658,1362451076122760320,264.86615107268995,46.00634774933,-0.2154569999999998,3.790645,6.0556,3.691767,3.907224
12345,364785939116867072,14.1892287868,38.49948894198,0.22131800000000013,3.843221,3.37,3.903239,3.681921
80728,1385978666451514112,244.93506863648,46.31353301826,-0.17080099999999998,3.88713,4.313,3.803087,3.973888
34445,1565090003967879424,201.30730577291,54.98784533978001,0.26357200000000036,3.974355,1.921,4.053378,3.789806
18096,219375904303684224,59.74126438868,35.791042068690004,0.08114299999999997,3.974884,13.0234,3.970395,3.889252
81679,1755320049747788160,308.30326973863,11.30317925159,-0.13896699999999962,4.015604,4.9666,3.948567,4.087534
17031,60248877811546112,47.90808720854999,19.72664828435,1.1809480000000003,4.064342,10.2607,4.585422,3.404474
29455,405987526029851264,25.91533157511,50.68866947907001,-0.05104099999999967,4.081212,5.9211,4.019928,4.070969
90056,181124307088367232,79.5442171546,33.370897989090004,1.4788699999999997,4.116194999999999,27.8198,4.799452,3.320582
90020,1926476042681491712,355.1026126546,44.33384847092,-0.07825900000000097,4.147998,2.5944,4.089887999999999,4.168147
80729,1386158505321789696,242.19224169755,44.9350698604,-0.034279999999999866,4.190117,4.2739,4.1925360000000005,4.226816
56220,482818271843093376,73.51254990848001,66.34270799686999,0.07939300000000049,4.212864,61.3498,4.228461,4.149068
34857,1707399209837352064,236.01507917363,77.79448391627,0.09789300000000001,4.2679730000000005,5.816,4.289688,4.191795
63153,2096875399817444736,281.1932967032,37.60520976092,0.2661150000000001,4.316457,3.3613,4.392447,4.126332
34935,1724851173788449536,263.05490751446,86.58669984134,0.05626700000000007,4.321091,3.071,4.342093,4.285826
386,146483849657244928,70.5612622075,22.95682713679,-0.1669589999999994,4.321626999999999,5.667999999999999,4.177811,4.34477
27488,582791194797052416,132.10812687511998,5.83768158291,-0.008933000000000746,4.339961,4.9263,4.317524,4.326457
32681,1004671160675810816,94.90567921603,59.0110906288,0.047306000000000736,4.436156,3.5385,4.435762,4.388456
47912,1990723839987250176,348.13812894607,49.40663255426,0.434253,4.438951,1.8092,4.606249,4.171996
75170,2419885149815948416,355.68105806185,-14.5451998902,-0.04591999999999974,4.473714,2.0335,4.45178,4.4977
28939,375010813139050368,12.45365436059,41.0788278102,-0.18458299999999994,4.49091,5.8888,4.423494,4.608077
96318,184433149893809024,81.16308634194,37.38530042175,1.582334,4.515971,47.1547,5.266807,3.684473
3557,2702544403629124224,336.31934038804,1.37740985144,0.06154100000000007,4.525096,6.6373,4.519456,4.457915
76301,2840673506807375360,350.15953538948,23.74034392901,0.2826960000000005,4.533373,3.0779,4.637066,4.354369999999999
2961,2163949388695291136,314.95652722896,47.52095244138,0.10557000000000105,4.549879,8.6314,4.603998000000001,4.498428
75044,2328250059757795072,357.23194377728,-28.13074342707,0.009323999999999444,4.554578,1.9729,4.560773999999999,4.55145
199,93806419367308544,28.382917106740003,19.29342301216,-0.028432000000000457,4.562396,2.1211,4.552057,4.580489
32904,1043382731705599360,137.73038701292,63.5133604349,0.45615200000000033,4.565455,2.5606,4.743432,4.28728
31159,418090121095577216,7.943449071210001,54.52217954002,-0.09065600000000007,4.648081,6.3637,4.663245,4.753901
34389,1524913024458144256,199.38485314248,40.57268849014,0.40464699999999976,4.652891,4.8964,4.791037,4.3863900000000005
82207,175909804473075968,65.10252672205999,34.56669459662,1.0970109999999993,4.68065,10.4478,5.152829,4.055818
17331,61033001402831872,50.68825067128,20.74200297961,1.3863539999999999,4.701843,18.1154,5.339689,3.953335
89326,1870779903225039872,311.85228812221,36.49067518364,-0.12846699999999966,4.712803,6.946000000000001,4.485445,4.613912
87599,1835335977682835200,303.81626848478,25.59193776936,-0.23436399999999935,4.766654,6.8657,4.653462,4.887826
23615,257075615399416448,65.38833252076,46.49872278243,-0.015753000000000128,4.782536,4.8777,4.771406,4.787159
30063,935456044713157888,122.11395840541,51.506646114510005,0.059478000000000364,4.791666,3.5708,4.801031,4.741553
80419,1334035606852913536,259.3315097592,33.10007734754,-0.24436299999999989,4.815964,6.0181,4.699851,4.944214
89907,1908095850396090880,339.81531786164,39.0502452024,-0.3029839999999995,4.825453,9.3616,4.713965,5.016948999999999
34210,1420972823029057408,263.04518678233995,55.18448601891,0.3672589999999998,4.839051,1.785,4.95608,4.588821
34766,91181575874485632,29.33791322641,17.817467201320003,1.1264590000000005,4.843748000000001,18.496,5.3221050000000005,4.195646
79979,1234645287617291520,220.18155997269,16.41839583823,-0.11528400000000083,4.85487,3.0864,4.812378,4.927662000000001
28553,346231302441905920,30.97825852213,42.33069921796,-0.040904000000000273,4.862768,2.6486,4.838847,4.879751000000001
238,49298394834276608,64.31506301994,20.57833299896,0.34999999999999964,4.864198,1.5656,4.994997,4.644997
31025,415024618257029888,12.20863075856,50.96812889649,-0.11441299999999988,4.867326,3.3122,4.82453,4.938943
34464,1576850723937017216,195.18311488813,56.36635375953,0.5182950000000002,4.885962999999999,1.7353,5.016466,4.498171
75833,2713130535941345792,343.8073072944,8.81623656106,0.03093400000000024,4.887580000000001,3.4610000000000003,4.890669,4.859735
86501,1827977186901985024,297.76723062926004,22.60997784575,-0.2213940000000001,4.887583,4.7046,4.81008,5.031474
9266,265722999474087424,76.66908986186999,51.59695829274,0.49361699999999953,4.898983,1.7122,5.060484,4.566867
79581,1053778957742409984,156.03259900577,65.56632923066,-0.034892000000000145,4.9112540000000005,3.9044,4.898377,4.933269
75595,2645537646306946688,351.73353624987,1.25517855366,0.04854499999999984,4.915504,1.9119,4.929165,4.88062
18077,218170461600456576,55.59437438044001,33.96500483922,-0.004764000000000657,4.917594,10.3637,4.906857,4.911621
36179,1808282768947879808,303.5694998678,15.19786217788,0.09386199999999967,4.923669,1.9904,4.958749,4.864887
7241,241279069280395904,50.36028874912,43.32964658483,0.07877200000000073,4.930196,1.9455,4.9631110000000005,4.884339
84062,3029560533494670592,116.48690700886002,-14.563778570639998,0.4790030000000005,4.935122,4.3235,5.118985,4.639982
80178,1320255698202371072,240.36049337661,29.85102976643,-0.05523699999999909,4.954191000000001,3.9265,4.9336660000000006,4.988903
41510,441416161501150848,52.01294917356,49.0627542813,-0.1159750000000006,4.954242,4.9725,4.908151999999999,5.024127
63997,2131342100048643584,285.3600707927,46.93440365999,0.26363299999999956,4.96545,1.8806,5.060822,4.797189
61778,2079990268472754048,295.20963297185,45.52547336627,0.5515970000000001,4.973558000000001,3.3183,5.172752,4.621155
95077,1993966437221117568,359.75231305089,55.75490952438,-0.11241099999999982,4.983272,7.513,4.9143300000000005,5.026741
80695,1374695306328813568,234.84438427599,36.635777880940005,-0.14053100000000018,4.9854970000000005,4.3082,4.936498,5.0770290000000005
91471,1971467916750747264,319.61330451716,43.9459064882,-0.030506999999999174,4.992317,11.9802,4.959116000000001,4.989623
59615,2067050940754838656,312.52131048717,44.0598901552,0.2720590000000005,5.007864,1.9602,5.112191,4.840132
41773,442501619995081088,49.78198800505,50.09486073045999,-0.05852199999999996,5.009382,5.0773,4.980562,5.039084
28572,775456761905169920,165.2096529279,39.211956164,0.3592050000000002,5.012182,6.6378,5.132551,4.773346
42356,1931392955601291392,345.65192928728,42.75779611527,0.17396100000000025,5.012317,4.5384,5.108831,4.93487
34070,1367510272719203968,267.26750104937,50.78197500609,0.061932999999999794,5.012529,3.0184,5.021822,4.959889
57596,2804805822600404736,13.81125954427,24.55700246526,2.646611,5.026294999999999,126.2636,6.485322,3.838711
64616,2157548616097840000,275.97720848164,58.80101718426999,0.08464500000000008,5.029228,2.2981,5.060428,4.975783
71723,2210840501590321792,356.97839098332,67.80680198767,0.021785000000000387,5.031558,3.5013,5.035815,5.01403
29027,873246776325007232,112.33499918997,28.11804171473,0.17954499999999918,5.039443,2.406,5.102618,4.9230730000000005
82018,1796736625538995072,328.26575183722,25.9251314654,-0.22875900000000016,5.049913,4.5292,4.967956,5.196715
31154,418030923572427520,9.03480008335,54.16844144322,-0.11501600000000067,5.055149,3.914,5.008042,5.123058
87253,1833224949722816768,301.72260596153,23.61442618026,-0.24839699999999976,5.057024,3.4193,4.951148,5.199545
34800,1693272581363394304,183.04999208719,77.61633033521,0.44888300000000037,5.061902,1.8883,5.230208,4.781325
94533,1985552905521456768,344.26882118736,48.68404419023,-0.1603349999999999,5.06683,6.988,5.002889,5.163224
79682,1103352844667317632,103.42609455062,68.88834524989001,-0.1261549999999989,5.086468,8.2671,5.0207690000000005,5.146923999999999
18456,448233374109147264,52.5004020532,55.45175365798001,0.05182200000000048,5.087484,2.2475,5.101030000000001,5.049208
28694,829776725129940480,160.88531071467,46.20357666384,0.4695740000000006,5.087954,2.1361,5.263423,4.793849
79678,1102797861873269504,102.73787941728,67.57195536591,-0.21646300000000007,5.096458999999999,7.2835,5.016178,5.232641
69,16370186245017600,52.60189379568,11.336366312510002,-0.035312999999999484,5.115597,3.8932,5.099041000000001,5.134354
