ID,Source,x,y,Constellation
919,168726523212358272,58.53304404662,31.88359461391,Perseus
3583,2769202742740232960,3.30897038438,15.18355074145,Pegasus
18096,219375904303684224,59.74126438868,35.791042068690004,Perseus
81679,1755320049747788160,308.30326973863,11.30317925159,Delphinus
12345,364785939116867072,14.1892287868,38.49948894198,Andromeda
65698,511974502720839040,28.59918850459,63.67001834766,Cassiopeia
34462,1575287046603605888,183.85734834773,57.03265316489,Ursa Major
34857,1707399209837352064,236.01507917363,77.79448391627,Ursa Minor
63153,2096875399817444736,281.1932967032,37.60520976092,Lyra
386,146483849657244928,70.5612622075,22.95682713679,Taurus
28939,375010813139050368,12.45365436059,41.0788278102,Andromeda
3557,2702544403629124224,336.31934038804,1.37740985144,Aquarius
76301,2840673506807375360,350.15953538948,23.74034392901,Pegasus
75044,2328250059757795072,357.23194377728,-28.13074342707,Sculptor
89326,1870779903225039872,311.85228812221,36.49067518364,Cygnus
87599,1835335977682835200,303.81626848478,25.59193776936,Vulpecula
34464,1576850723937017216,195.18311488813,56.36635375953,Ursa Major
86501,1827977186901985024,297.76723062926004,22.60997784575,Vulpecula
79581,1053778957742409984,156.03259900577,65.56632923066,Ursa Major
18077,218170461600456576,55.59437438044001,33.96500483922,Perseus
80178,1320255698202371072,240.36049337661,29.85102976643,Corona Borealis
63997,2131342100048643584,285.3600707927,46.93440365999,Lyra
57596,2804805822600404736,13.81125954427,24.55700246526,Pisces
71723,2210840501590321792,356.97839098332,67.80680198767,Cepheus
82018,1796736625538995072,328.26575183722,25.9251314654,Pegasus
87253,1833224949722816768,301.72260596153,23.61442618026,Vulpecula
18456,448233374109147264,52.5004020532,55.45175365798001,Camelopardalis
6049,217180007783721472,57.38607924826,33.09139852205,Perseus
34614,1639947946747724160,236.66707720542004,62.599305925180005,Draco
62981,2090364641714902144,282.47043249132,32.55100797182,Lyra
42617,132751808418537472,36.86558602343,31.80115559038,Triangulum
10821,325989155933856640,33.98445061574,33.35875245505999,Triangulum
75664,2677228629435903104,331.19750939727004,-0.90653607586,Aquarius
76079,2790497534190737152,16.42090226228,21.47308784144,Pisces
33907,1338482130657660288,257.00846559135,35.93509929325,Hercules
79406,982431540841766912,116.01737035553002,50.43367672266,Lynx
49550,2001025095719170560,332.79222538642,50.82357353648,Lacerta
35290,1756148222519224192,308.48799252185,13.02738034098,Delphinus
35252,1754631755466911360,309.45484189392005,11.377636970929998,Delphinus
81178,1643563042195991424,241.58156798648,67.81041603789001,Draco
18092,218954825708955776,59.11955530747,35.08087855944,Perseus
55662,2037646495139760512,286.65760935463,28.628971799370003,Lyra
81264,1704123214941238656,242.70632973892003,75.87761974115,Ursa Minor
33900,1337345922829546752,260.91943127206,37.14681735989,Hercules
81105,1596640009092360320,235.71102161497,52.36103145948,Boötes
76201,2821368419085908352,354.48690399844,18.40074218645,Pegasus
28331,314142055583243904,15.70464916109,31.80412443948,Pisces
34866,1709205638721316352,246.42733119113,78.96432577552,Ursa Minor
10875,328788886199337344,30.74139776648,33.2841025013,Triangulum
82762,1820154058573970944,299.43941003817,16.78924326804,Sagitta
43965,1963019544282480384,333.45563482111,45.440630098190006,Lacerta
87432,1834396891668192256,298.62958361209,24.31938109855,Vulpecula
76078,2790213894550349824,16.9885999223,20.73866924492,Pisces
73959,2245998176160116736,310.79620624717,66.65760003893,Cepheus
72179,2215178933954312448,351.82089824095,70.35976289489,Cepheus
58628,2060590416602748416,304.61962060799,36.99989745559,Cygnus
81093,1588975588412216576,226.35720532511,48.1510979041,Boötes
8,3665501184671104,45.59389899409,4.35291423416,Cetus
12680,383275940831929728,3.37777193842,41.03472004815,Andromeda
41718,1901075056335332608,337.50772629854,32.57257698565,Pegasus
59228,2064128301409598464,306.89258520738,38.44004410131,Cygnus
34499,1595903095782563072,230.02154135993,51.9585658943,Boötes
34267,1435825026095907072,261.42222965816,60.04850388296,Draco
5873,379242524156416384,5.73906269136,38.75429286669,Andromeda
89781,1893599923453399040,331.39462936573,28.96393666205,Pegasus
34835,1704421629268883456,240.8802750815,76.7940335885,Ursa Minor
88137,1852355455594429440,317.16216732481,30.20554376623,Cygnus
32925,1053660244847204864,154.5075028864,65.10831235578,Ursa Major
18091,218804811091303936,57.97384622535,34.35909872011,Perseus
1684,157860462109271808,70.33252610996,28.6148577705,Taurus
61770,509717686388338816,25.832437982090003,60.55127983308,Cassiopeia
28902,369934093075424640,17.79273239059,37.72410007071,Andromeda
79418,987326158587778432,110.71688681784,55.28125527997,Lynx
42852,133296307192505472,39.17915873626,31.60766888527,Triangulum
20674,469919007590613888,58.43108707768,57.97474044202,Camelopardalis
34058,1365497616683816064,261.6843393356,48.26004196765,Hercules
31524,961247873083084800,91.26383041194,42.9809850659,Auriga
75436,2574158313504213504,27.71623775092,11.04325602313,Aries
34469,1580673966384344960,191.82915213986,62.78117825168,Ursa Major
708,158774706027453056,68.65830879808,28.96105539632,Taurus
28361,322210134469243008,23.56929047864,37.23709521959,Andromeda
76255,2832463659640297472,346.87016480276003,21.134030591020004,Pegasus
34557,1625248992408317952,248.1072249659,60.82325166177,Draco
12509,374478374633139712,15.72595246533,41.34513133704,Andromeda
76453,2866785052540493952,357.41446706815003,28.842502189540006,Pegasus
23666,517534664294712960,41.20727616114,67.82448892389,Cassiopeia
1319,6803919687302528,45.46807230961,5.33621919396,Cetus
82448,1810687847547417856,309.77069622254,15.8381295966,Delphinus
75989,2759948634405916288,354.97972935423,9.67725035455,Pegasus
18449,448152697443908480,53.41243208321,54.97485869949001,Camelopardalis
23707,518109468363459968,30.71851036456,64.90140922037,Cassiopeia
60478,508656210984467840,29.63861270118,61.69774189282,Cassiopeia
32931,1056193279119417728,170.71346551321,64.3306660311,Ursa Major
29080,388066478631001728,11.5452117672,44.86147424815,Andromeda
64690,146841775050361472,70.80738729306,24.08883165135,Taurus
70843,2204774976978895232,335.75234675245,62.41941409038,Cepheus
32941,1059387566556243584,167.41477789026,67.2100912313,Ursa Major
74876,2294812815940339968,290.41833251063,79.60269205951,Draco
76072,2789223097134820992,11.80728171932,19.57874245706,Pisces
75437,2574616260097077760,29.85786664871,12.29470401773,Aries
76141,2805741846297577344,13.99369393623,27.20943260468,Pisces
54766,2032861317502068224,295.79000780345,30.6779102463,Cygnus
25126,82116961496755840,41.07980878095,17.763765731729997,Aries
29044,385324369647655552,4.675847312169999,43.79112892472,Andromeda
54145,134174129788770816,39.2778047607,32.891224188390005,Triangulum
19298,1327870404636047872,249.13192832082,36.03980821366,Hercules
28967,377540789395063552,12.5765176287,45.00228059313,Andromeda
12730,385485619900166400,4.08992111664,43.59494854934,Andromeda
34175,1414473674220006272,257.91793955473,49.74644075018,Hercules
74896,2296723045594634368,276.03924893515,83.17528892259,Draco
69631,2194944690188083328,310.66531950344,60.60123186822,Cepheus
1362,148144799407843200,69.84654335402,25.21822984102,Taurus
43952,1962872695061191680,331.55125852485,45.24865866705,Lacerta
36576,1816818655669416320,307.74276614278,20.606410049,Delphinus
32032,970003524691958528,92.90256641002,48.71074051965999,Auriga
75709,2687063417349148288,324.39058281418,-0.39068732848,Aquarius
86945,1829801654614269440,302.83754536627004,21.87488314103,Vulpecula
92035,1975770825454738944,331.46340033161,48.23147494127,Lacerta
80029,215617601758439296,86.75009813353,51.52069981429,Auriga
63683,2122719386264539136,270.78717533204,48.46431686537,Hercules
76193,2819811338822198912,354.41621252245005,16.82548687648,Pegasus
43126,448776116237692928,54.58244401012,56.93256467783001,Camelopardalis
41611,1895306228060527360,332.71555327242,30.55292253095,Pegasus
31296,80369459562947840,32.34694902555,17.22337936979,Aries
93,24955447912616576,40.6204513834,10.74162398338,Aries
392,146953066243274240,71.42698955944,23.62791494268,Taurus
88650,1862667259759305216,309.38245096547,31.57253693227,Cygnus
75695,2684398063724433024,321.21528585662,-3.3985773222400004,Aquarius
81091,1587432458202711424,225.16126562802003,47.27751267009,Boötes
33990,1353541802121804160,256.94426169321,40.51590209031,Hercules
78528,846011838944319232,175.11421906031998,57.970464925680005,Ursa Major
46496,152668843080781184,67.58429603916,28.13208453151,Taurus
32928,1054776833264783616,165.27307437826,63.42088240976,Ursa Major
41921,1910990211674785152,346.86539258019,32.82529453996,Pegasus
32121,972092974741801088,91.12134560737,51.573201027340005,Auriga
32956,1061746156437117056,168.04592935979,68.27190147963,Ursa Major
2559,2034968875123889536,297.21080561388,33.437259526359995,Cygnus
79584,1058588633919989248,162.2078562693,65.13252135099,Ursa Major
33851,1325288029779869696,245.73552913753,32.3329778027,Corona Borealis
76449,2865971035979516928,352.9291365881,28.40342399132,Pegasus
18569,449935108870554240,53.384320788850005,58.765044834680005,Camelopardalis
73011,2224308831832908032,326.75340401408,70.15077084678,Cepheus
42504,445838053673051392,57.33256726835,57.11816213752,Camelopardalis
33999,1355430282061470336,256.27061750957995,43.81223617651,Hercules
54427,2031595607828115072,295.7049214803,29.33197552649,Cygnus
10739,321873271594305536,19.69582068187,37.38625394609,Andromeda
31942,968597489838610432,94.39407979985,46.42400207539001,Auriga
26217,537612876192148096,0.41561939611,73.61179261963001,Cepheus
64628,2158581607271180160,272.77975108728,60.40955220359999,Draco
74976,2302516063123490048,288.78367987804,83.46277996239,Draco
29531,890711865697756928,105.32082889131,32.41452021695,Gemini
6087,218886037513023104,59.51322756237,34.81382001606,Perseus
34743,1675593224662533504,197.45878895668,62.22908577003,Ursa Major
75048,2332372854697927680,354.04004344856,-26.87631126169,Sculptor
63688,2123118268467192960,271.77622500157,49.71052836714001,Hercules
23369,73900242382799104,34.71832773927,12.99244308513,Aries
71103,518118951651059200,31.16684066396,65.10338329339001,Cassiopeia
419,152189662169148288,67.33267104212,27.404107884570003,Taurus
36528,1816028656564573568,307.33801266331,20.0876715321,Delphinus
43916,1962542635413447296,331.02799617456003,44.34509956341,Lacerta
23958,76658195502296576,30.60457184726,12.68491360675,Aries
287,130503066622145792,42.608639335540005,31.97268505833,Triangulum
29364,401569963186136960,19.10210725448,48.08223531269,Andromeda
34023,1361644962300099584,259.96198468817,45.309013163660005,Hercules
52907,2020881416742340736,296.66518031837995,25.13381580061,Vulpecula
34067,1367172275972544640,264.9497151923,49.77987860844,Hercules
37714,1826794662139228672,299.25174742389,20.99825519637,Sagitta
38152,1830677656153842816,303.41920449228,24.23918508614,Vulpecula
71509,2209521156356152064,353.04884660537004,65.73918858681999,Cepheus
33008,1076749782872011776,154.46013654023997,71.06049458045,Ursa Major
36434,1812913018564688256,312.65479381672003,18.05136033633,Delphinus
76217,2824732821587566976,352.09799706123,19.88553560137,Pegasus
18068,216660488536984448,56.67032923863001,32.290141237,Perseus
34497,1595319083310383488,234.01728089456,52.07017185689,Boötes
75724,2689931630869716096,317.31698882332,-0.23494053553,Aquarius
89227,1870251450455707776,310.59300679467003,35.45615657705,Cygnus
1740,7012208421296512,45.86731992861,6.226440123330001,Cetus
34,24328996867188480,36.69036550608,10.5652382941,Aries
89932,1912398926588785280,353.10334980662003,34.95229397492,Pegasus
63564,2111573052778749952,276.04564658029,42.46680817491,Lyra
75652,2672352226647436800,323.53204923461004,-4.36815001562,Aquarius
71888,2212309552204522880,347.48279637356,67.24212562016999,Cepheus
31214,957303924872527104,97.76292198728,39.75449127808,Auriga
43532,134737492059770240,40.57702944026,34.29483508352,Triangulum
34352,1493758156324750976,221.11793370681,45.18591471188,Boötes
89732,1886748385463852800,345.17680394874003,31.08295934874,Pegasus
79132,958302556308456704,97.6051493854,41.40162688977,Auriga
90759,1963421523166286592,333.00759829057006,47.09564707460999,Lacerta
12376,367826775961688704,13.22255382914,38.54878969418,Andromeda
56485,2046366859306201856,292.81737095996004,33.4706985579,Cygnus
80661,1363284299777747584,267.51390182192995,48.39421105446,Hercules
33454,87044422856456192,34.78624142626,19.68715053402,Aries
37658,1826310911394676864,297.68775877863,20.21148076785,Vulpecula
39301,1853390748867885952,321.09468340674,30.93666493773,Cygnus
29019,382443958419926656,8.11182506472,43.49475285367001,Andromeda
81271,1705883498698235904,254.04211265781,77.65280599451,Ursa Minor
29367,401993236511331456,15.7570204444,47.376093659350005,Andromeda
829,969823376583544576,91.46855101775,48.24927701707,Auriga
73272,2227895610562976512,353.1217321664,72.00086212564,Cepheus
38458,1834163211096038528,299.20761239652,23.776956632720005,Vulpecula
76001,2765664136365951360,359.94927027073,11.273442137480002,Pegasus
3212,2178486238079541760,325.60075843916,57.73603546657,Cepheus
78691,887091483144696448,109.3772281559,31.697957601559995,Gemini
22659,507940635072273024,30.20229913476,59.95920426141999,Cassiopeia
41630,1896311937602804992,328.47703323925,28.34142197095,Pegasus
88487,1861243529647755520,304.95758677627003,29.72683964493,Cygnus
96647,2001849282765692928,337.34309870494,54.24591807224,Lacerta
32298,983378877485018880,112.73659658398998,51.99863138629001,Lynx
80189,1323858527224296448,241.05603088496,34.17886313024,Corona Borealis
579,79597052644565504,35.63851193695,16.87024143483,Aries
43097,448305357760497792,54.09138438601,55.88678474614,Camelopardalis
74250,2268560738875917440,283.38866639309,75.7874553936,Draco
608,86181684186025856,38.402595823240006,18.88007457973,Aries
90696,1962614893942891776,332.27194260269,44.85474706669001,Lacerta
18576,449986167444949248,55.30006718673,58.844638026130006,Camelopardalis
1724,6963761190199424,45.962766646400006,6.13352285232,Cetus
18176,445328361309169920,56.46076001327,55.06368575771,Camelopardalis
30595,1860679961214002944,307.82331859019,29.72787250999,Cygnus
82464,1811525263092268288,310.22520142088,17.571096746020004,Delphinus
28354,320838218835424768,20.82555802503,36.51455620228,Andromeda
73437,158231616003512576,72.07967592845999,29.23546848891,Taurus
35363,1762112248463881728,310.40700162514,13.80880180779,Delphinus
86343,1827754741937222528,295.85434674475,22.4949598867,Vulpecula
88125,1851523709407187328,317.95221298348,29.71163947148,Cygnus
76044,2780817605618658944,7.696322795369999,16.0376036636,Pisces
39727,1859489361923234944,312.65049945934,30.91284724578,Cygnus
54254,2030696413444813696,301.05430232351,31.243313142590004,Cygnus
76311,2842114519875003264,345.58780170916,23.34053538059,Pegasus
12623,380755245998283008,9.3599117027,40.33236501636,Andromeda
12321,362049873149543936,10.96777369679,33.31076598664,Andromeda
32284,981452464393171840,106.41560131119,52.75829469731,Lynx
34139,1402037686609868800,232.34715072536,47.71342735861,Boötes
74979,2302598870092999808,282.28460126330003,83.90494422465,Draco
79419,987326227307654016,110.71185323876,55.28418236253,Lynx
82760,1820126364623279744,299.55954019634,16.49370022456,Sagitta
92026,1975713135452767616,332.17450179017004,47.93342704801,Lacerta
76427,2862719780094988928,7.1188869186,32.4376538708,Andromeda
57585,2055331521207506688,303.7257875286,32.86881869932,Cygnus
38189,1831175494396169472,306.83696630458,23.79063511355,Vulpecula
77639,537106933343756800,6.46349023864,71.80712952105,Cepheus
74268,2270071158616219392,316.92033093041,68.25409148909999,Cepheus
24902,81100806594183680,39.74921888038,14.8603861594,Aries
76556,2876812736025390080,1.30420481004,35.57084765709,Andromeda
34589,1634757568966999680,267.36692666189,68.68934923446,Draco
28766,860909637385712000,169.07891862073,59.94322885670999,Ursa Major
36567,1816690077225842304,307.08697406536,20.11294574615,Delphinus
76300,2840294175295787904,353.36748195522006,24.34248736424,Pegasus
75107,2380618737730042752,352.1049852138,-25.420618473729995,Sculptor
74892,2296438890557808640,283.47507047392,82.37012087209001,Draco
52592,2018395386568045184,294.2776271696,22.00593360639,Vulpecula
63655,2119793929420734208,280.71120456244,47.57538799785999,Lyra
36997,1821709592638784512,300.99757331947,17.12306281372,Sagitta
34570,1630741018629522432,254.09117763672,62.36994181885,Draco
75609,2653568925912626688,340.705071713,0.23182951885,Aquarius
79421,987827226653323520,105.3066849659,54.85653846955999,Lynx
37382,1824391095378782080,295.58056686898,18.4656697377,Sagitta
63518,2108224455757800832,275.93352643807003,38.34518742862,Lyra
70926,2205427365327787776,335.46607227294,63.14006148106999,Cepheus
74231,2265937097973716480,283.25382063859,71.78729525809,Draco
78891,937468288430941184,103.53158608173,32.51132597938,Gemini
61053,509110859044049920,25.12919278734,59.05273943955,Cassiopeia
58488,2059988880676378112,301.77587591795,36.82665616765,Cygnus
87603,1835372605164694144,304.57109319898,25.64825519799,Vulpecula
41826,1906437821221214592,332.52720261931,35.2137479774,Pegasus
20661,469733121405286400,59.7080171045,57.45072570235,Camelopardalis
57972,506352115651984896,28.92856484118,59.27344277659,Cassiopeia
34159,1407847677849579392,254.01881777532,47.37098201250999,Hercules
1391,7137861984507136,44.01746002883,6.175020577509999,Cetus
38,26042658754047360,38.60825252241,11.60469036575,Aries
8242,252190725755396864,59.65927051305,53.98861752908,Camelopardalis
71413,2208953567841374976,346.92540748318,65.61682002628,Cepheus
34658,1650155232878977280,253.61867302628,70.46385111306,Draco
10852,327444909330717440,36.70186467,35.6141928755,Triangulum
75612,2654535053036023424,340.74199502802,1.2172531815,Aquarius
6217,401966302768724864,15.21332963127,46.92568079245999,Andromeda
62998,2090755861696195584,282.3498794375,33.70104855927,Lyra
80015,215599288018509824,85.86366844636,52.48888030578,Auriga
1844,154907959856241536,72.59327513172,28.10537248093,Taurus
40021,1862427566225761792,310.50986180184,31.311966582070003,Cygnus
2703,2059853915630134912,300.87247766983995,36.02511626191,Cygnus
89806,1896822557674613248,330.81028559786,30.20323217907,Pegasus
34095,1378771883127857920,243.30373781776,38.07252852457,Corona Borealis
34459,1574113936415101568,186.63597274193,55.1594951738,Ursa Major
52961,148409987868911616,69.35261862733,25.72723982825,Taurus
63458,2105791477045073536,284.98884796131,43.25391228529,Lyra
81147,1625497207158487168,250.27611778139,62.30796144136,Draco
32341,987619144077069824,108.28968168695,54.49372302877,Lynx
72585,2218713004845348480,334.30093211276,66.12898207277,Cepheus
34619,1641893365070336512,240.24134691408,64.95001289026,Draco
75700,2685592648748354304,318.76611788385,-2.57192136884,Aquarius
86908,1829454140222690176,305.17547419034,22.27675776943,Vulpecula
