Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-7.81807757877,33.51614585275,30.75429286669,57.42960690068,8.0,31,13.872449183759032,43.52849622773935
Aries,25.42253009671,49.86480869933,9.75672062016,35.603720638910005,8.0,18,37.054787369816665,23.012600927380554
Auriga,71.12067679848,106.79236185468,28.07180469486,63.65671466071,8.0,28,87.88241662847466,45.10865974803463
Boötes,201.77193168093,228.6649948785,10.911664282910003,46.79400028756,8.0,13,215.24865331749004,29.98190315235462
Camelopardalis,44.5004020532,86.66071003633999,44.84109935277,71.59685321767,8.0,16,57.96703290171688,58.19396542598187
Cancer,113.26854590933998,137.07251472848998,5.11793654777,28.39002352992,8.0,11,125.86074590785364,16.682823012736364
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,12,199.5503385008492,39.84821362737833
Canis Major,91.64756523978,119.2782139731,-28.64034391823,-4.393947236140001,8.0,15,104.91291807011066,-16.931621465463998
Canis Minor,101.65039511831,128.30777111064,-7.72138103261,12.87991999222,8.0,4,115.42481192285751,2.2933664347725
Cassiopeia,-7.65991606387,23.66532400606,42.96812889649,71.67964981813,8.0,22,5.835999010220454,60.86584742128273
Cepheus,340.6552794657,400.62581064197,63.80712952105,92.60681028679,8.0,15,15.618842552115332,79.35040564508334
Cetus,33.84587750265,53.962766646400006,-7.03002921751,17.307443133059998,8.0,18,44.48049059766222,4.394430613900556
Corona Borealis,226.10902084088,253.73552913753,24.3329778027,46.07252852457,8.0,9,240.03130656675108,35.39249844867888
Cygnus,292.87247766983995,331.75814934878,21.72683964493,49.13852864628,8.0,25,309.22680036917444,34.076235897284
Draco,220.24116891762,298.41833251063,40.76776864368,91.90494422465,8.0,24,252.69831530106333,57.06266684576542
Gemini,93.29166803465,121.84987703145,19.63792298993,41.61430709072,8.0,13,108.88572528348465,31.180980317957694
Hercules,253.6843393356,279.77622500157,33.94669427857001,57.77987860844,8.0,14,262.798943744675,47.27141796543786
Hydra,123.12968363401001,148.91782222665,-6.71984927187,13.837681582910001,8.0,12,135.50166622456916,4.2082387032175
Lacerta,322.86524792975,352.26882118736,39.09564707460999,64.4085089399,8.0,21,337.9224217675772,52.169464802964285
Leo,136.23783992071,162.73925214476003,9.705805907920002,39.076824502760005,8.0,6,149.660484573435,24.819957131475004
Leo Minor,147.7718638017,165.65003578898998,25.90812043703,44.27319736606,8.0,4,156.45412630778998,35.406636095045
Lepus,66.6512114618,100.31328569788,-29.12241351219,-4.31085940609,8.0,10,84.64067473111899,-15.153026877187997
Lynx,86.90567921603,124.01737035553002,42.43367672266,68.77777436107,8.0,7,121.09075957386713,52.6923345766243
Lyra,266.45163416611,296.00139913657995,29.605209760919998,55.57538799785999,8.0,13,280.9215785212585,42.85879348987308
Monoceros,88.74507874022,118.50860432538,-16.97932104961,14.72409104126,8.0,14,104.08584957916501,-0.3693347234564284
Orion,75.2806053554,101.18569879949,-17.04175858024,6.41947074394,8.0,8,87.58784876073125,-4.6378853028325
Pegasus,320.74472748567,355.5714608532,19.98858083515,43.43778476687,8.0,21,339.3344594555124,32.22388913810143
Perseus,51.31776821277,79.75893157476999,29.54265366483,54.49872278243,8.0,18,65.09266804932776,41.457353713718334
Pisces,3.8072817193200006,26.5870373987,11.578742457059999,40.45576681518,8.0,9,15.105118051977778,26.324224104168888
Serpens,224.95195606416,248.69247971838,4.723587877330001,32.70855818692,8.0,9,236.46202558443116,18.171228949404444
Taurus,48.20099235354,67.76430129255999,13.323512097270001,33.68270945074,8.0,28,57.66531337971643,23.74442906350786
Triangulum,28.52133323306,50.608639335540005,21.68699386342,42.58431503205,8.0,17,39.18399359102529,32.27130342452117
Ursa Major,146.46013654023997,213.96723681268003,47.1594951738,79.06049458045,8.0,19,180.4003368255084,61.57407129277
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,7,245.94101092642288,77.37476170945571
Virgo,218.02622987567003,234.61617635682003,-4.99086077296,13.49542755161,8.0,4,226.2904012741975,4.557692739735
