Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-6.69579518996,31.56929047864,23.3910484047,56.08223531269,8.0,21,11.92069103506905,40.883148197550945
Aquarius,309.31698882332,348.74199502802,-12.36815001562,9.37740985144,8.0,9,328.2427712376567,-1.0049244549755558
Aries,32.50365634831,56.05941829715999,18.462376976210003,38.93558166626,8.0,9,44.51254937800999,28.899109108606662
Auriga,77.86366844636,102.39407979985,34.9809850659,63.65671466071,8.0,11,92.69122391941454,46.80635239862818
Boötes,202.29327458048,238.4521390587,10.911664282910003,40.93375458989,8.0,8,222.42085551235874,28.58618425394625
Camelopardalis,48.50486707641,82.02944308941,44.84109935277,75.20109687138,8.0,11,55.89661386227001,56.58650692826637
Cancer,112.43219675375,135.4562851076,15.13768635568,35.52968636192,8.0,7,124.45884475206717,25.348747396297146
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,12,199.5503385008492,39.84821362737833
Cassiopeia,3.3213236407999993,33.733785655830005,46.95237500068,78.97982930449001,8.0,20,20.807448151549497,62.63182142995301
Cepheus,302.66531950344,374.46349023864,49.73603546657,81.61179261963001,8.0,18,280.10657704061504,67.25817042675943
Corona Borealis,226.10902084088,253.73552913753,21.85102976643,46.07252852457,8.0,8,239.1235679012375,34.930899077296246
Cygnus,284.81737095996004,329.09468340674,21.33197552649,41.4706985579,8.0,20,305.474608421771,33.074229776521996
Delphinus,299.08697406536,322.25571868369,3.3031792515900005,28.606410049,8.0,12,309.969846383,15.9542337636
Draco,232.24134691408,298.41833251063,50.80101718426999,91.90494422465,8.0,19,271.28393592616635,71.21237197811315
Gemini,95.53158608173,121.84987703145,18.85644205828,40.51132597938,8.0,9,109.08678036424112,29.770813134015555
Hercules,230.87732474792003,279.77622500157,32.51590209031,57.88079899005999,8.0,17,254.58912137786058,47.14045943377705
Lacerta,329.34309870494,352.26882118736,40.68404419023,64.4085089399,8.0,9,341.3300410259367,52.261087091617775
Leo,135.97015278123,162.73925214476003,3.5681893960799993,39.076824502760005,8.0,8,148.77534706707127,19.87108318567875
Leo Minor,147.7718638017,170.09796634215,25.90812043703,45.57031039846,8.0,4,157.82404270947248,35.74229802544
Lynx,104.98157798735,137.06492255201,27.778715707819998,51.26021139868,8.0,11,122.44319647473544,40.87605371946636
Lyra,267.93352643807003,294.65760935463,20.628971799370003,55.57538799785999,8.0,10,281.28588950136606,39.74852158548599
Pegasus,315.11269329442,340.71555327242,2.0934288178300005,38.55292253095,8.0,17,328.50900929871943,20.536024914630005
Perseus,47.59437438044001,70.41223594302,23.65244431484,43.791042068690004,8.0,11,67.29266715477091,38.22990533974
Pisces,-0.30367720463000136,24.9885999223,8.037603663599999,39.80412443948,8.0,8,13.78475200710375,23.744735486718753
Sagitta,287.58056686898,308.99757331947,8.493700224560001,28.99825519637,8.0,5,298.96576756937003,17.973986248078
Serpens,226.17728774046,245.21027620896,4.723587877330001,26.46427791957,8.0,4,235.445367544715,15.606693563177501
Taurus,46.16618361509,78.09479973757,20.70269669626,37.97205370787,8.0,3,59.86255527217666,29.29958271051
Triangulum,22.74139776648,50.608639335540005,23.60766888527,43.6141928755,8.0,9,37.88240679421778,33.021641474673324
Ursa Major,115.96027524474,153.77866694717,38.90200003078,76.51480864423999,8.0,15,136.21559797732,55.45795559150267
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,5,244.01422556859802,77.41665380319
Virgo,179.29028783413003,234.02681132645,-12.10996104819,13.49269472504,8.0,3,200.20275717180002,-0.34895079764666637
Vulpecula,286.2776271696,314.83696630458,13.87488314103,33.64825519799,8.0,15,300.66578001015864,23.550248273602
