Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-7.81807757877,33.51614585275,30.75429286669,57.42960690068,8.0,31,13.872449183759032,43.52849622773935
Aquarius,331.37455844534,366.1662926105,-31.22567545541,3.5383754322499996,8.0,14,350.8492803193157,-14.409479694759284
Aquila,292.87508656395,311.5694998678,4.2282824859399994,24.03121591396,8.0,3,302.21719590182994,14.485786859260001
Aries,25.42253009671,49.86480869933,9.75672062016,35.603720638910005,8.0,18,37.054787369816665,23.012600927380554
Auriga,71.12067679848,106.79236185468,28.07180469486,63.65671466071,8.0,28,87.88241662847466,45.10865974803463
Boötes,201.77193168093,228.6649948785,10.911664282910003,46.79400028756,8.0,13,215.24865331749004,29.98190315235462
Camelopardalis,44.5004020532,86.66071003633999,44.84109935277,71.59685321767,8.0,16,57.96703290171688,58.19396542598187
Cancer,125.14422878801,144.22919499274,24.37656006934,40.91013378101,8.0,4,134.48409746471748,32.551493693565
Canes Venatici,184.17374975862,216.29222105253,20.64826005195,57.68213630008,8.0,12,199.5503385008492,39.84821362737833
Cassiopeia,-7.65991606387,23.66532400606,42.96812889649,71.67964981813,8.0,22,5.835999010220454,60.86584742128273
Cepheus,340.6552794657,400.62581064197,63.80712952105,92.60681028679,8.0,15,15.618842552115332,79.35040564508334
Cetus,33.84587750265,53.962766646400006,-7.5522247165600005,17.307443133059998,8.0,19,44.47063512961789,4.186711912297368
Corona Borealis,226.10902084088,253.73552913753,24.3329778027,46.07252852457,8.0,9,240.03130656675108,35.39249844867888
Cygnus,292.87247766983995,331.75814934878,21.71163947148,49.13852864628,8.0,27,309.939987434727,33.754097806590735
Delphinus,295.715549828,322.63433997935,-1.9918498290699995,26.05136033633,8.0,26,309.5307477949546,11.99603546481077
Draco,220.24116891762,298.41833251063,40.76776864368,91.90494422465,8.0,24,252.69831530106333,57.06266684576542
Equuleus,307.66796339442004,328.84900470722,-5.233813731990001,19.65709233268,8.0,5,318.279975864236,7.822656823394
Gemini,93.29166803465,125.7507602791,20.11804171473,41.61430709072,8.0,13,109.39428708572078,31.486782850085383
Hercules,253.6843393356,279.77622500157,33.94669427857001,57.77987860844,8.0,14,262.798943744675,47.27141796543786
Lacerta,322.86524792975,352.26882118736,39.09564707460999,64.4085089399,8.0,21,337.9224217675772,52.169464802964285
Leo Minor,147.7718638017,165.65003578898998,25.90812043703,44.27319736606,8.0,4,156.45412630778998,35.406636095045
Lynx,86.90567921603,124.01737035553002,42.43367672266,68.77777436107,8.0,7,121.09075957386713,52.6923345766243
Lyra,266.45163416611,296.00139913657995,29.605209760919998,55.57538799785999,8.0,13,280.9215785212585,42.85879348987308
Pegasus,322.81028559786,365.41446706815003,8.012545004789999,43.43778476687,8.0,37,343.7378786387884,27.46116610219892
Perseus,51.31776821277,79.75893157476999,29.54265366483,54.49872278243,8.0,18,65.09266804932776,41.457353713718334
Pisces,-3.9772007242100003,34.47909198236,-4.65064757501,24.0376036636,8.0,20,15.251020868097502,10.399397682687
Sagitta,287.58056686898,308.99757331947,8.493700224560001,26.4656697377,8.0,5,298.664515950148,17.145870914321996
Serpens,224.95195606416,248.69247971838,4.723587877330001,32.70855818692,8.0,9,236.46202558443116,18.171228949404444
Taurus,48.20099235354,67.76430129255999,13.323512097270001,33.68270945074,8.0,28,57.66531337971643,23.74442906350786
Triangulum,28.52133323306,50.608639335540005,21.68699386342,42.58431503205,8.0,17,39.18399359102529,32.27130342452117
Ursa Major,146.46013654023997,213.96723681268003,47.1594951738,79.06049458045,8.0,19,180.4003368255084,61.57407129277
Ursa Minor,228.01507917363,262.04211265781,67.87761974115,86.96432577552,8.0,7,245.94101092642288,77.37476170945571
Virgo,218.02622987567003,234.61617635682003,-4.99086077296,13.49542755161,8.0,4,226.2904012741975,4.557692739735
Vulpecula,285.3212433353,321.59331436367,12.4143707847,36.52197295941,8.0,28,304.19008984145,23.974119643068573
